Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Delayed
,,20,5,644,645,,937,UA,482,N7291U,133,112,,,ORD,PHL,678,6,17,0,NA,0,NA,NA,NA,NA,NA,
,,22,5,700,700,,755,AS,60,NA,47,55,,,JNU,KTN,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,
,,27,5,803,815,,1000,US,103,N704UW,81,105,,,ABE,CLT,481,5,9,0,,0,0,0,0,0,0,
,,27,5,645,645,,937,UA,482,N7453U,104,112,,,ORD,PHL,678,6,15,0,NA,0,NA,NA,NA,NA,NA,
,,29,5,700,700,,755,AS,60,NA,50,55,,,JNU,KTN,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,
,,2,6,705,700,,755,AS,60,NA,54,55,,,JNU,KTN,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,
,,7,6,1450,1455,,1650,WN,2742,N446,50,55,,,ABQ,AMA,277,3,10,0,,0,0,0,0,0,0,
,,7,6,648,645,,937,UA,482,N7449U,110,112,,,ORD,PHL,678,5,17,0,NA,0,NA,NA,NA,NA,NA,
,,9,6,700,700,,755,AS,60,NA,50,55,,,JNU,KTN,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,
,,14,6,644,645,,937,UA,482,N7282U,114,112,,,ORD,PHL,678,5,15,0,NA,0,NA,NA,NA,NA,NA,